fold,accuracy,precision,recall,f1,auc
1,0.8867126641442243,0.9024674115456238,0.97731283085455,0.9384000968171367,0.8666766987341384
2,0.8956154017360338,0.905800464037123,0.984118981598185,0.9433369578349644,0.8619844707429448
3,0.8909414645003338,0.9034578788582037,0.9813461053692967,0.9407926534557758,0.8651000027795855
4,0.8940338379341051,0.9064027939464494,0.9813461053692967,0.9423868312757202,0.8739246401862988
5,0.8902493321460374,0.9028293135435993,0.9813461053692967,0.9404517453798767,0.8736178232321414
6,0.8947016918967052,0.9068467629250117,0.9815981850264683,0.9427430093209055,0.8766475806354808
7,0.8924755120213713,0.9039888682745826,0.982606503655155,0.9416596207271409,0.8755221049851754
8,0.8884683882457702,0.9022748375116063,0.9798336274262667,0.9394561933534743,0.8714432160562738
9,0.8933659839715049,0.9070744805043194,0.9795763993948563,0.9419323554370227,0.8800042758887808
10,0.8831255565449688,0.8979875086745316,0.9788199697428139,0.936663047412233,0.8609631487414889
